GameId,Away,Home,Division,Conference,Week,Time,Primetime,International
216,Steelers,Buccaneers,FALSE,FALSE,,,,
217,Rams,Buccaneers,FALSE,TRUE,,,,
218,Chargers,Buccaneers,FALSE,FALSE,,,,
219,Buccaneers,Falcons,TRUE,TRUE,,,,
220,Panthers,Falcons,TRUE,TRUE,,,,
221,Saints,Falcons,TRUE,TRUE,,,,
222,Bears,Falcons,FALSE,TRUE,,,,
223,Lions,Falcons,FALSE,TRUE,,,,
224,Ravens,Falcons,FALSE,FALSE,,,,
225,Bengals,Falcons,FALSE,FALSE,,,,
226,49ers,Falcons,FALSE,TRUE,,,,
227,Chiefs,Falcons,FALSE,FALSE,,,,
228,Buccaneers,Saints,TRUE,TRUE,,,,
229,Falcons,Saints,TRUE,TRUE,,,,
230,Panthers,Saints,TRUE,TRUE,,,,
231,Packers,Saints,FALSE,TRUE,,,,
232,Vikings,Saints,FALSE,TRUE,,,,
233,Browns,Saints,FALSE,FALSE,,,,
234,Steelers,Saints,FALSE,FALSE,,,,
235,Cardinals,Saints,FALSE,TRUE,,,,
236,Raiders,Saints,FALSE,FALSE,,,,
237,49ers,Seahawks,TRUE,TRUE,,,,
238,Cardinals,Seahawks,TRUE,TRUE,,,,
239,Rams,Seahawks,TRUE,TRUE,,,,
240,Cowboys,Seahawks,FALSE,TRUE,,,,
241,Giants,Seahawks,FALSE,TRUE,,,,
242,Chiefs,Seahawks,FALSE,FALSE,,,,
243,Chargers,Seahawks,FALSE,FALSE,,,,
244,Bears,Seahawks,FALSE,TRUE,,,,
245,Patriots,Seahawks,FALSE,FALSE,,,,
246,49ers,Rams,TRUE,TRUE,1,,TRUE,"Melbourne, Australia"
247,Cardinals,Rams,TRUE,TRUE,,,,
248,Seahawks,Rams,TRUE,TRUE,,,,
249,Cowboys,Rams,FALSE,TRUE,,,,
250,Giants,Rams,FALSE,TRUE,,,,
251,Chiefs,Rams,FALSE,FALSE,,,,
252,Chargers,Rams,FALSE,FALSE,,,,
253,Packers,Rams,FALSE,TRUE,,,,
254,Bills,Rams,FALSE,FALSE,,,,
255,Cardinals,49ers,TRUE,TRUE,,,,
256,Rams,49ers,TRUE,TRUE,,,,
257,Seahawks,49ers,TRUE,TRUE,,,,
258,Eagles,49ers,FALSE,TRUE,,,,
259,Commanders,49ers,FALSE,TRUE,,,,
260,Raiders,49ers,FALSE,FALSE,,,,
261,Broncos,49ers,FALSE,FALSE,,,,
262,Vikings,49ers,FALSE,TRUE,,,,
263,Dolphins,49ers,FALSE,FALSE,,,,
264,49ers,Cardinals,TRUE,TRUE,,,,
265,Rams,Cardinals,TRUE,TRUE,,,,
266,Seahawks,Cardinals,TRUE,TRUE,,,,
267,Eagles,Cardinals,FALSE,TRUE,,,,
268,Commanders,Cardinals,FALSE,TRUE,,,,
269,Raiders,Cardinals,FALSE,FALSE,,,,
270,Broncos,Cardinals,FALSE,FALSE,,,,
271,Lions,Cardinals,FALSE,TRUE,,,,
272,Jets,Cardinals,FALSE,FALSE,,,,
